latitude,longitude,name,color
33.9646113832,-81.0373735524,,#FFF00
33.9652131838,-81.0364902499,,#FFF00
33.9655317841,-81.0376751679,,#FFF00
33.9660804846,-81.0368134093,,#FFF00
33.9663282849,-81.0380845032,,#FFF00
33.9669300855,-81.037007305,,#FFF00
33.9670008855,-81.0385369264,,#FFF00
33.9675849861,-81.0371581127,,#FFF00
33.9675672861,-81.0388816298,,#FFF00
33.9683460868,-81.0376967118,,#FFF00
33.9682752867,-81.0394633168,,#FFF00
33.9690363875,-81.0382999428,,#FFF00
33.9689655874,-81.0400234598,,#FFF00
33.9697089881,-81.0388816298,,#FFF00
33.969638188,-81.0405836029,,#FFF00
33.9703461887,-81.0395279487,,#FFF00
33.9703107887,-81.0411437459,,#FFF00
33.9709656893,-81.0401096357,,#FFF00
