latitude,longitude,name,color
33.9647352834,-81.0362963542,,#FFF00
33.9649476836,-81.0374812722,,#FFF00
33.9659742845,-81.0367272335,,#FFF00
33.9660804846,-81.0379121514,,#FFF00
33.9670539856,-81.0369642171,,#FFF00
33.9671070856,-81.0386015583,,#FFF00
33.9680274865,-81.0375028162,,#FFF00
33.9679743864,-81.0392047892,,#FFF00
33.9688593873,-81.038170679,,#FFF00
33.9687708872,-81.0398511081,,#FFF00
33.969620488,-81.0388600858,,#FFF00
33.9695319879,-81.040475883,,#FFF00
33.9703461887,-81.0395494926,,#FFF00
33.9702576886,-81.041100658,,#FFF00
33.9711072894,-81.03991574,,#FFF00
