latitude,longitude,name,color
33.9651300404,-81.0376143846,,#FFF00
33.9655182624,-81.0377420754,,#FFF00
33.9659417772,-81.0379548933,,#FFF00
33.9663652921,-81.038082584,,#FFF00
33.9668240999,-81.0383805291,,#FFF00
33.967529958,-81.0388061649,,#FFF00
33.9679887657,-81.0391892371,,#FFF00
33.9684122806,-81.0394871821,,#FFF00
33.9688005026,-81.0398702543,,#FFF00
33.9691534316,-81.0401256358,,#FFF00
33.9695416536,-81.040508708,,#FFF00
33.9698945826,-81.0407640895,,#FFF00
33.9702475117,-81.0411045981,,#FFF00
33.9706004408,-81.0413599796,,#FFF00
33.9709533698,-81.0417430518,,#FFF00
33.9713062989,-81.0419558697,,#FFF00
33.9716945208,-81.0422963783,,#FFF00
33.972012157,-81.0425517598,,#FFF00
33.9724003789,-81.0430199592,,#FFF00
33.9728944796,-81.043445595,,#FFF00
33.9733179945,-81.0439137943,,#FFF00
33.9738120952,-81.0443819937,,#FFF00
33.97423561,-81.0447650659,,#FFF00
33.9743414887,-81.0445948116,,#FFF00
33.9739179739,-81.0441691758,,#FFF00
33.9734238732,-81.04374354,,#FFF00
33.9729650654,-81.0432753407,,#FFF00
33.9725062576,-81.0428497049,,#FFF00
33.9721180357,-81.0424240691,,#FFF00
33.9717651066,-81.042126124,,#FFF00
33.9714121776,-81.041828179,,#FFF00
33.9710592485,-81.0415727975,,#FFF00
33.9707063195,-81.0411897253,,#FFF00
33.9703533904,-81.0409343438,,#FFF00
33.9700004614,-81.0405938352,,#FFF00
33.9696475323,-81.0402958901,,#FFF00
33.9692593103,-81.0399128179,,#FFF00
33.9689063813,-81.0396574364,,#FFF00
33.9685181593,-81.0392743642,,#FFF00
33.9680946445,-81.0389764192,,#FFF00
33.9675652509,-81.0385507834,,#FFF00
33.9668946857,-81.0381677112,,#FFF00
33.966400585,-81.0379123297,,#FFF00
33.9659770701,-81.037784639,,#FFF00
33.9655535553,-81.0375718211,,#FFF00
33.9651653333,-81.0374441303,,#FFF00
33.9652006262,-81.0372313124,,#FFF00
33.9656241411,-81.0374015667,,#FFF00
33.9660476559,-81.0376143846,,#FFF00
33.9664711708,-81.0377420754,,#FFF00
33.9670005644,-81.0379548933,,#FFF00
33.9676005438,-81.0382954019,,#FFF00
33.9682005232,-81.0387636013,,#FFF00
33.968624038,-81.0390615463,,#FFF00
33.96901226,-81.0394446185,,#FFF00
33.969400482,-81.0397425636,,#FFF00
33.969753411,-81.0401256358,,#FFF00
33.970141633,-81.0404235809,,#FFF00
33.9704592691,-81.0407215259,,#FFF00
33.9708121982,-81.041019471,,#FFF00
33.9711651272,-81.0414025432,,#FFF00
33.9715180563,-81.0416579247,,#FFF00
33.9718709854,-81.0419984333,,#FFF00
33.9722239144,-81.0422963783,,#FFF00
33.9726121364,-81.0427220141,,#FFF00
33.9730709441,-81.0431050863,,#FFF00
33.9735297519,-81.0435732857,,#FFF00
33.9740238526,-81.0439989215,,#FFF00
33.9744826604,-81.0444245573,,#FFF00
33.9745885391,-81.0442117394,,#FFF00
33.9741297313,-81.0437861036,,#FFF00
33.9736356306,-81.0434030314,,#FFF00
33.9731415299,-81.042934832,,#FFF00
