latitude,longitude,name,color
33.9646712326,-81.0374441303,,#FFF00
33.9648829901,-81.0376995118,,#FFF00
33.9650947475,-81.0377420754,,#FFF00
33.9653065049,-81.0378697661,,#FFF00
33.9654123836,-81.0379123297,,#FFF00
33.9656241411,-81.0379974568,,#FFF00
33.9657653127,-81.0379974568,,#FFF00
33.9659770701,-81.0381251476,,#FFF00
33.9659770701,-81.0381251476,,#FFF00
33.9661888276,-81.0382102747,,#FFF00
33.9664711708,-81.0383805291,,#FFF00
33.9666829282,-81.0385082198,,#FFF00
33.9674240793,-81.0389764192,,#FFF00
33.9674240793,-81.0389764192,,#FFF00
33.9676005438,-81.0391466735,,#FFF00
33.9678123012,-81.0393169278,,#FFF00
33.9680240587,-81.0394871821,,#FFF00
33.9682358161,-81.0396574364,,#FFF00
33.9684475735,-81.0398702543,,#FFF00
33.9687652097,-81.0400405086,,#FFF00
33.9689416742,-81.0402533265,,#FFF00
33.9690475529,-81.0403384537,,#FFF00
33.9692593103,-81.040508708,,#FFF00
33.9693651891,-81.0405938352,,#FFF00
33.9693651891,-81.0405938352,,#FFF00
33.9695769465,-81.0407640895,,#FFF00
33.9696475323,-81.0408066531,,#FFF00
33.9698239968,-81.0409769074,,#FFF00
33.9699298755,-81.041019471,,#FFF00
33.970141633,-81.0412322889,,#FFF00
33.9702122188,-81.0412322889,,#FFF00
33.9703886833,-81.0414451068,,#FFF00
33.9703886833,-81.0414451068,,#FFF00
33.9705298549,-81.0414876703,,#FFF00
33.9707063195,-81.0417004882,,#FFF00
33.9708474911,-81.0417430518,,#FFF00
33.9710239556,-81.0419558697,,#FFF00
33.9710945414,-81.0419984333,,#FFF00
33.971271006,-81.0421686876,,#FFF00
33.971271006,-81.0421686876,,#FFF00
33.9713415918,-81.0421686876,,#FFF00
33.9715180563,-81.0423389419,,#FFF00
33.9715886421,-81.0423389419,,#FFF00
33.9718003995,-81.0425943234,,#FFF00
33.9719062783,-81.042636887,,#FFF00
33.9720827428,-81.0428922684,,#FFF00
33.9724003789,-81.0431476499,,#FFF00
33.9724003789,-81.0431476499,,#FFF00
33.9725768435,-81.0434030314,,#FFF00
33.9728944796,-81.0437009764,,#FFF00
