latitude,longitude,name,color
33.7533036199,-80.645633511,,#FFF00
33.7532677397,-80.6466195588,,#FFF00
33.7544159037,-80.6467481737,,#FFF00
33.7543082633,-80.6479057081,,#FFF00
33.7554205472,-80.6476484782,,#FFF00
33.7554564273,-80.6488488842,,#FFF00
33.7564969509,-80.6481200663,,#FFF00
33.7566045913,-80.6493633439,,#FFF00
33.7575733546,-80.6488060126,,#FFF00
33.7575374745,-80.6500921618,,#FFF00
33.7583985975,-80.649834932,,#FFF00
33.7583627174,-80.6510782096,,#FFF00
33.7590803198,-80.6509924663,,#FFF00
33.7590444397,-80.6521928723,,#FFF00
33.7596902819,-80.6522786156,,#FFF00
33.7596185217,-80.6533932783,,#FFF00
33.7601567235,-80.653307535,,#FFF00
33.7601208434,-80.6543793261,,#FFF00
33.760587285,-80.654507941,,#FFF00
33.7605514049,-80.6554511171,,#FFF00
33.7611254869,-80.6554939888,,#FFF00
33.760874326,-80.65630855,,#FFF00
33.7615201683,-80.6560513201,,#FFF00
33.7615560484,-80.6568658813,,#FFF00
33.762309531,-80.6564371649,,#FFF00
33.7625248117,-80.6572945977,,#FFF00
33.763170654,-80.6564800365,,#FFF00
33.7637806161,-80.6573374694,,#FFF00
33.7641394173,-80.6562656783,,#FFF00
33.7647493794,-80.6571231112,,#FFF00
33.7650364204,-80.6560084485,,#FFF00
33.7658616633,-80.6568230097,,#FFF00
33.7663281049,-80.6548937858,,#FFF00
33.7674403887,-80.6551938873,,#FFF00
33.7674403887,-80.6531789201,,#FFF00
33.7685167924,-80.6534790216,,#FFF00
33.7690908744,-80.6517641559,,#FFF00
33.7699519974,-80.6524929738,,#FFF00
33.7710642812,-80.6514640544,,#FFF00
33.7713513222,-80.6526644604,,#FFF00
33.772427726,-80.652107129,,#FFF00
33.7723559657,-80.6535647649,,#FFF00
33.7734682495,-80.6532646634,,#FFF00
33.7728941676,-80.6548080425,,#FFF00
33.773898811,-80.6550224007,,#FFF00
33.7729659278,-80.6564800365,,#FFF00
33.77361177,-80.6570373679,,#FFF00
33.7727506471,-80.6584092604,,#FFF00
33.7732888489,-80.6590952067,,#FFF00
33.7723559657,-80.6602956127,,#FFF00
33.7727147669,-80.6611530455,,#FFF00
33.7715307229,-80.6617103769,,#FFF00
33.7718895241,-80.662782168,,#FFF00
33.7705978396,-80.6628679112,,#FFF00
33.7708490005,-80.6640254456,,#FFF00
33.7696290763,-80.6640254456,,#FFF00
33.7693061552,-80.6650972366,,#FFF00
