latitude,longitude,name,color
33.7541288627,-80.6465766872,,#FFF00
33.7549541056,-80.64743412,,#FFF00
33.7558869888,-80.648034323,,#FFF00
33.7567481118,-80.6484201678,,#FFF00
33.7576451149,-80.6491061141,,#FFF00
33.758542118,-80.6502636484,,#FFF00
33.7591162,-80.6512925678,,#FFF00
33.7596902819,-80.6524072305,,#FFF00
33.7601567235,-80.6534361499,,#FFF00
33.7605514049,-80.6545508126,,#FFF00
33.7611254869,-80.6556226037,,#FFF00
33.7619148496,-80.6563514216,,#FFF00
33.762883613,-80.6566515231,,#FFF00
33.7636370956,-80.6565229082,,#FFF00
33.7646058589,-80.65630855,,#FFF00
33.7654669819,-80.6560084485,,#FFF00
33.766363985,-80.6551938873,,#FFF00
33.7669021869,-80.6543793261,,#FFF00
33.7675480291,-80.653307535,,#FFF00
33.7684809123,-80.6522786156,,#FFF00
33.7693420353,-80.6518070275,,#FFF00
33.7703825589,-80.651506926,,#FFF00
33.7712436819,-80.6516784126,,#FFF00
33.7726071266,-80.6524929738,,#FFF00
33.7733964893,-80.6534361499,,#FFF00
33.7737552905,-80.6550652723,,#FFF00
33.7737552905,-80.6560084485,,#FFF00
33.7735400098,-80.6570802395,,#FFF00
33.7734323694,-80.6581091589,,#FFF00
33.7732170887,-80.65918095,,#FFF00
33.7730376881,-80.6602098694,,#FFF00
33.7725712464,-80.6614102754,,#FFF00
33.7720330446,-80.6624391948,,#FFF00
33.7709566409,-80.6637253441,,#FFF00
33.7708131204,-80.6635538575,,#FFF00
33.771853644,-80.6623105799,,#FFF00
33.7723918458,-80.6613245321,,#FFF00
33.7728582874,-80.6601669978,,#FFF00
33.7730376881,-80.6591380784,,#FFF00
33.7732529688,-80.6580662873,,#FFF00
33.7733606092,-80.6570802395,,#FFF00
33.7735400098,-80.6560084485,,#FFF00
33.7735400098,-80.6551938873,,#FFF00
33.7732529688,-80.6536933798,,#FFF00
33.7724994862,-80.6527502037,,#FFF00
33.7712436819,-80.6519356425,,#FFF00
33.7704543191,-80.6517641559,,#FFF00
33.7694496757,-80.6520213857,,#FFF00
33.7686603129,-80.6524501022,,#FFF00
33.7677274297,-80.6534790216,,#FFF00
33.7670815875,-80.6545936843,,#FFF00
33.7665075055,-80.6554511171,,#FFF00
33.765502862,-80.6562656783,,#FFF00
33.764641739,-80.6565229082,,#FFF00
33.7636012155,-80.656780138,,#FFF00
33.7628118527,-80.6568230097,,#FFF00
33.7617713291,-80.6564800365,,#FFF00
33.7610178465,-80.655708347,,#FFF00
33.7604437645,-80.6545936843,,#FFF00
33.7600490832,-80.6535218932,,#FFF00
33.7595826416,-80.6524929738,,#FFF00
33.7590085596,-80.6514211828,,#FFF00
33.7584344776,-80.650435135,,#FFF00
33.7575733546,-80.6493204723,,#FFF00
33.7566404714,-80.6486773976,,#FFF00
33.7557793484,-80.6482486812,,#FFF00
33.7548105851,-80.6476056066,,#FFF00
33.7539853422,-80.6467053021,,#FFF00
33.7538418217,-80.646833917,,#FFF00
33.7546670646,-80.6477770932,,#FFF00
33.7556717081,-80.6484630394,,#FFF00
33.756532831,-80.6488917559,,#FFF00
33.7574657143,-80.6494919589,,#FFF00
33.7583268372,-80.6506066215,,#FFF00
33.7589009192,-80.651506926,,#FFF00
33.7594750012,-80.6526215887,,#FFF00
33.7599414428,-80.6535647649,,#FFF00
33.7603720043,-80.6546794276,,#FFF00
33.7609102062,-80.6557512186,,#FFF00
33.7615919285,-80.6566086515,,#FFF00
33.7627400925,-80.6570373679,,#FFF00
33.7635653353,-80.6570373679,,#FFF00
33.7646776192,-80.656780138,,#FFF00
33.7655387421,-80.6565229082,,#FFF00
33.7666151459,-80.655708347,,#FFF00
33.7672609881,-80.6547651708,,#FFF00
33.7678709502,-80.6536076365,,#FFF00
33.7688038334,-80.6526215887,,#FFF00
33.769557316,-80.652235744,,#FFF00
33.7705260794,-80.6520213857,,#FFF00
33.771279562,-80.652235744,,#FFF00
33.7723918458,-80.6530074335,,#FFF00
33.7730735682,-80.6539506096,,#FFF00
33.7733247291,-80.6553225022,,#FFF00
33.7733606092,-80.6560084485,,#FFF00
33.7732170887,-80.6570802395,,#FFF00
33.7731094483,-80.6580234157,,#FFF00
33.7728941676,-80.6590952067,,#FFF00
33.7727147669,-80.6601241261,,#FFF00
33.7722483253,-80.6612387888,,#FFF00
33.7716383632,-80.6622248366,,#FFF00
33.7706695999,-80.6633823709,,#FFF00
33.7705260794,-80.6632108844,,#FFF00
33.7714589626,-80.6620962217,,#FFF00
33.7720689247,-80.6611530455,,#FFF00
33.7725353663,-80.6600812545,,#FFF00
33.7727147669,-80.6590523351,,#FFF00
33.7729300477,-80.657980544,,#FFF00
33.7730376881,-80.6570802395,,#FFF00
33.7731453284,-80.6560084485,,#FFF00
33.7731094483,-80.6554511171,,#FFF00
33.7729300477,-80.6542078395,,#FFF00
33.7722842055,-80.6532646634,,#FFF00
33.771279562,-80.6524929738,,#FFF00
33.7705978396,-80.6522786156,,#FFF00
33.7696649564,-80.6524501022,,#FFF00
33.768983234,-80.6527930753,,#FFF00
33.7680503508,-80.6537791231,,#FFF00
33.7674403887,-80.6549795291,,#FFF00
33.7667586664,-80.6559655768,,#FFF00
33.7655746223,-80.656780138,,#FFF00
33.7647134993,-80.6569944962,,#FFF00
33.7635294552,-80.6572945977,,#FFF00
33.7626683322,-80.6572088545,,#FFF00
33.761448408,-80.6567372664,,#FFF00
33.7608025658,-80.6558369619,,#FFF00
33.7602643639,-80.6547222992,,#FFF00
33.7598338024,-80.6536505082,,#FFF00
33.7593673608,-80.652707332,,#FFF00
33.7587932788,-80.651635541,,#FFF00
33.7582191969,-80.6507781081,,#FFF00
33.757393954,-80.6497063171,,#FFF00
33.7564251907,-80.6491489857,,#FFF00
33.7555640677,-80.6486773976,,#FFF00
33.7545235441,-80.6479485797,,#FFF00
33.7536983012,-80.646962532,,#FFF00
