latitude,longitude,name,color
33.7540929826,-80.6465766872,,#FFF00
33.7549899857,-80.64743412,,#FFF00
33.7559228689,-80.648034323,,#FFF00
33.7567481118,-80.6483772962,,#FFF00
33.7576451149,-80.6491061141,,#FFF00
33.758542118,-80.6502636484,,#FFF00
33.7591162,-80.6513354395,,#FFF00
33.7596544018,-80.6524072305,,#FFF00
33.7601208434,-80.6534790216,,#FFF00
33.7604796447,-80.6545936843,,#FFF00
33.7610896068,-80.6556654753,,#FFF00
33.7619148496,-80.6563514216,,#FFF00
33.762883613,-80.6566515231,,#FFF00
33.7636729757,-80.6564800365,,#FFF00
33.7646058589,-80.6562656783,,#FFF00
33.764641739,-80.6566515231,,#FFF00
33.7636012155,-80.656908753,,#FFF00
33.7627759726,-80.656908753,,#FFF00
33.7616636888,-80.6565229082,,#FFF00
33.7609460863,-80.655708347,,#FFF00
33.7604078844,-80.6546365559,,#FFF00
33.7600132031,-80.6535218932,,#FFF00
33.7595108813,-80.6525358455,,#FFF00
33.7589367993,-80.6514640544,,#FFF00
33.7583985975,-80.6505208783,,#FFF00
33.7575015944,-80.6494062156,,#FFF00
33.7565687112,-80.6487631409,,#FFF00
33.7557075882,-80.6483772962,,#FFF00
33.7547388248,-80.6476913499,,#FFF00
33.753913582,-80.6467481737,,#FFF00
33.7537341814,-80.646962532,,#FFF00
33.754487664,-80.6479914514,,#FFF00
33.7555281876,-80.6487202693,,#FFF00
33.7564251907,-80.6491918574,,#FFF00
33.757393954,-80.6497063171,,#FFF00
33.7582191969,-80.6507781081,,#FFF00
33.7587932788,-80.6515926693,,#FFF00
33.7593673608,-80.6526644604,,#FFF00
33.7599055627,-80.6536076365,,#FFF00
33.7603361242,-80.6546794276,,#FFF00
33.7608384459,-80.6557940903,,#FFF00
33.761448408,-80.6567372664,,#FFF00
33.7627042124,-80.6572088545,,#FFF00
33.7635294552,-80.6573374694,,#FFF00
33.7647134993,-80.6570373679,,#FFF00
33.7646058589,-80.6562656783,,#FFF00
33.7654669819,-80.6559655768,,#FFF00
33.7663281049,-80.655108144,,#FFF00
33.7668663067,-80.6543364544,,#FFF00
33.767512149,-80.653307535,,#FFF00
33.7684450322,-80.6522786156,,#FFF00
33.7693061552,-80.6518070275,,#FFF00
33.7703825589,-80.6514640544,,#FFF00
33.7712436819,-80.6515926693,,#FFF00
33.7726071266,-80.6524072305,,#FFF00
33.7734682495,-80.6533932783,,#FFF00
33.7738270508,-80.6550652723,,#FFF00
33.7736476502,-80.6551510156,,#FFF00
33.7733247291,-80.6536076365,,#FFF00
33.7725353663,-80.6526644604,,#FFF00
33.7712436819,-80.6518498992,,#FFF00
33.7704543191,-80.6516784126,,#FFF00
33.7694137955,-80.6519785141,,#FFF00
33.7685885527,-80.6524072305,,#FFF00
33.7676556695,-80.6534361499,,#FFF00
33.7670098272,-80.654507941,,#FFF00
33.7664357452,-80.6553225022,,#FFF00
33.765502862,-80.656179935,,#FFF00
33.764641739,-80.6564800365,,#FFF00
33.764641739,-80.6566515231,,#FFF00
33.7655387421,-80.6563942933,,#FFF00
33.7665433856,-80.6555797321,,#FFF00
33.7671533477,-80.6546794276,,#FFF00
33.76779919,-80.6535218932,,#FFF00
33.7687320732,-80.6525358455,,#FFF00
33.7694855558,-80.652107129,,#FFF00
33.7704901993,-80.6518927708,,#FFF00
33.7712436819,-80.6520642574,,#FFF00
33.772427726,-80.6528788186,,#FFF00
33.7731453284,-80.6538219947,,#FFF00
33.7734323694,-80.6552367589,,#FFF00
33.7732529688,-80.6553653738,,#FFF00
33.7730018079,-80.6540792246,,#FFF00
33.7723559657,-80.6530931768,,#FFF00
33.771279562,-80.6523214872,,#FFF00
33.7705619595,-80.6521500007,,#FFF00
33.7695931962,-80.6522786156,,#FFF00
33.7688755937,-80.652707332,,#FFF00
33.7679427105,-80.6536505082,,#FFF00
33.7673327483,-80.6548509141,,#FFF00
33.7666869061,-80.6558369619,,#FFF00
33.7655746223,-80.6566515231,,#FFF00
33.7646776192,-80.6568230097,,#FFF00
33.7647134993,-80.6570373679,,#FFF00
33.7656105024,-80.6568658813,,#FFF00
33.7667945465,-80.6560513201,,#FFF00
33.7674762688,-80.6550224007,,#FFF00
33.768086231,-80.6537791231,,#FFF00
33.7690191142,-80.6528359469,,#FFF00
33.7697008365,-80.6524501022,,#FFF00
33.7706337198,-80.6523643589,,#FFF00
33.771279562,-80.6525787171,,#FFF00
33.7722842055,-80.6533504067,,#FFF00
33.7728582874,-80.6542935828,,#FFF00
33.7730735682,-80.6554511171,,#FFF00
33.7730735682,-80.6554511171,,#FFF00
33.7731094483,-80.6560084485,,#FFF00
33.7730376881,-80.6570802395,,#FFF00
33.7729300477,-80.6580234157,,#FFF00
33.7727147669,-80.6590523351,,#FFF00
33.7725353663,-80.6601241261,,#FFF00
33.7720689247,-80.6611530455,,#FFF00
33.7714230825,-80.6620962217,,#FFF00
33.7704901993,-80.6632108844,,#FFF00
33.7707413601,-80.6634681142,,#FFF00
33.7717460036,-80.6622677082,,#FFF00
33.7723200856,-80.6612816605,,#FFF00
33.7727865272,-80.6601669978,,#FFF00
33.7729659278,-80.6590952067,,#FFF00
33.7731812086,-80.6580662873,,#FFF00
33.7732888489,-80.6570802395,,#FFF00
33.7734323694,-80.6560084485,,#FFF00
33.7734323694,-80.6552367589,,#FFF00
33.7738270508,-80.6550652723,,#FFF00
33.7737552905,-80.6560084485,,#FFF00
33.7735041297,-80.6570802395,,#FFF00
33.7734323694,-80.6581091589,,#FFF00
33.7732170887,-80.65918095,,#FFF00
33.7730376881,-80.6602098694,,#FFF00
33.7725712464,-80.6614102754,,#FFF00
33.7720689247,-80.6624391948,,#FFF00
33.770992521,-80.6637253441,,#FFF00
